defined_class	defined_class_name	medical_action	medical_action_label	food_material	food_material_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010000		MAXO:0001018	nutrition intake	FOODON:03420177	gluten	http://orcid.org/0000-0001-7941-2961	2019-07-11T09:00:01Z		"Intake may interfere with disease treatment, prolong the recovery phase, or cause complications."		
MAXO:0010001		MAXO:0001018	nutrition intake	FOODON:03412974	liquid	http://orcid.org/0000-0001-7941-2961	2019-07-11T09:00:01Z				
MAXO:0010002	protein intake avoidance	MAXO:0001018	nutrition intake	FOODON:03420236	protein	http://orcid.org/0000-0001-7941-2961	2019-11-13T02:36:00Z				
MAXO:0010003		MAXO:0001018	nutrition intake	FOODON:03420190	fat	http://orcid.org/0000-0001-7941-2961	2019-11-13T02:36:00Z				low fat dietary intake|non-fat dietary intake|limited fat dietary intake
MAXO:0010050	alcohol intake avoidance	MAXO:0001018	nutrition intake	FOODON:03310661	beverage alcohol	http://orcid.org/0000-0001-7941-2961	2019-11-18T11:00:00Z				
MAXO:0010051	fava bean intake avoidance	MAXO:0001018	nutrition intake	FOODON:03301227	broad bean	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				fava bean avoidance|windsor bean intake avoidance|fava bean consumption avoidance
MAXO:0010052		MAXO:0001018	nutrition intake	FOODON:00001006	meat food product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010053		MAXO:0001018	nutrition intake	FOODON:00001172	nut food product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010054		MAXO:0001018	nutrition intake	FOODON:00003043	saffron food product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010055		MAXO:0001018	nutrition intake	FOODON:00001046	seafood product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010056		MAXO:0001018	nutrition intake	FOODON:00002051	mussel food product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010057		MAXO:0001018	nutrition intake	FOODON:00001745	clove food product	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010058		MAXO:0001018	nutrition intake	FOODON:03303588	dark chocolate	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010059	pumpkin seed intake avoidance	MAXO:0001018	nutrition intake	FOODON:03304870	pumpkin seed (shell off)	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010060		MAXO:0001018	nutrition intake	FOODON:03310306	sesame seed	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010061	sunflower seed intake avoidance	MAXO:0001018	nutrition intake	FOODON:03304869	sunflower seed	http://orcid.org/0000-0001-7941-2961	2020-01-13T11:00:00Z				
MAXO:0010062	liver intake avoidance	MAXO:0001018	nutrition intake	FOODON_03309772Ê	liver	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010063	egg intake avoidance	MAXO:0001018	nutrition intake	FOODON_03420194	egg	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010064	kidney intake avoidance	MAXO:0001018	nutrition intake	FOODON_03310898	kidney	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010065	pea intake avoidance	MAXO:0001018	nutrition intake	FOODON_03306812	peas	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010066	bean intake avoidance	MAXO:0001018	nutrition intake	FOODON_00001635	bean food product	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010067	peanut intake avoidance	MAXO:0001018	nutrition intake	FOODON_00003206	peanuts	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010068	soy intake avoidance	MAXO:0001018	nutrition intake	FOODON_00002264	soybean refined food product	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				soya intake avoiance
MAXO:0010069	brassicas intake avoidance	MAXO:0001018	nutrition intake	FOODON_03400675	brassicas	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				brassicas vegetable intake avoidance|avoid brassicas intake
MAXO:0010070	brussels sprout intake avoidance	MAXO:0001018	nutrition intake	FOODON_00001670 	brussels sprouts	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010071	broccoli intake avoidance	MAXO:0001018	nutrition intake	FOODON_00001666Ê	broccoli	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010072	cabbage intake avoidance	MAXO:0001018	nutrition intake	FOODON_00001677	cabbage	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010073	cauliflower intake avoidance	MAXO:0001018	nutrition intake	FOODON_00001703	cauliflower	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010074	rapeseed intake avoidance	MAXO:0001018	nutrition intake	FOODON_00002187Ê	rapeseed	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010075		MAXO:0001018	nutrition intake	FOODON_03310482	rapeseed oil	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010076	rapeseed flour intake avoidance	MAXO:0001018	nutrition intake	FOODON_03310043	rapeseed meal	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010077		MAXO:0001018	nutrition intake	FOODON_03412116	cephalopods	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				
MAXO:0010078		MAXO:0001018	nutrition intake	FOODON_03411374	crustaceans	http://orcid.org/0000-0001-7941-2961	2020-05-12T11:00:00Z				