defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001356		CL:0000988	hematopoietic cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001357		CL:0000542	lymphocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001358		CL:0000558	reticulocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0000830		CL:0000232	erythrocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001359		CL:0000738	leukocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001360		CL:0000094	granulocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001361		CL:0000767	basophil	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001362		CL:0000775	neutrophil	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001363		CL:0000233	platelet	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001364		CL:0000019	sperm	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001365		CL:0000084	T cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001366		CL:0000236	B cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001376		CL:0000623	natural killer cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001377		CL:0002155	echynocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001378		CL:0000453	langerhans cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001379		CL:0000097	mast cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001380		CL:0002573	schwann cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001381		CL:0000763	myeloid cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001382		CL:0000586	germ cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001383		CL:0000125	glial cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001384		CL:1000510	kidney glomerial endothelial cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001385		CL:0000023	oocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001386		CL:0000766	myeloid leukocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001387		CL:0002092	bone marrow cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001388		CL:0000556	megakaryocyte	http://orcid.org/0000-0001-7941-2961	2023-03-06T20:39:14Z				