defined_class	defined_class_name	chemical	chemical_entity	created_by	date	comment	xref	syns
MAXO:0001237		CHEBI:12777	vitamin A	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001238	vitamin B measurement	CHEBI:75769	B vitamin	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001239		CHEBI:75782	vitamin B complex	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001240		CHEBI:26948	vitamin B1	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			thiamin measurement
MAXO:0001241		CHEBI:176838	vitamin B2	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			riboflavin measurement
MAXO:0001242		CHEBI:176839	vitamin B3	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			niacin measurement
MAXO:0001243		CHEBI:176840	vitamin B5	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001244		CHEBI:27306	vitamin B6	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001245		CHEBI:176841	vitamin B7	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001246		CHEBI:176842	vitamin B9	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001247		CHEBI:176843	vitamin B12	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001248		CHEBI:27300	vitamin D	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001249		CHEBI:176783	vitamin C	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001250		CHEBI:33234	vitamin E	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001251		CHEBI:28384	vitamin K	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			
MAXO:0001252	folate measurement	CHEBI:67011	folates	http://orcid.org/0000-0001-7941-2961	2022-05-04T13:40:00Z			